year,week,cases,vax_rate,date
2012,26,0,91.0,2012-06-25
2012,27,0,91.0,2012-07-02
2012,28,0,91.0,2012-07-09
2012,29,0,91.0,2012-07-16
2012,30,0,91.0,2012-07-23
2012,31,0,91.0,2012-07-30
2012,32,1,91.0,2012-08-06
2012,33,0,91.0,2012-08-13
2012,34,0,91.0,2012-08-20
2012,35,0,91.0,2012-08-27
2012,36,0,91.0,2012-09-03
2012,37,0,91.0,2012-09-10
2012,38,1,91.0,2012-09-17
2012,39,0,91.0,2012-09-24
2012,40,0,91.0,2012-10-01
2012,41,0,91.0,2012-10-08
2012,42,0,91.0,2012-10-15
2012,43,0,91.0,2012-10-22
2012,44,0,91.0,2012-10-29
2012,45,0,91.0,2012-11-05
2012,46,0,91.0,2012-11-12
2012,47,0,91.0,2012-11-19
2012,48,0,91.0,2012-11-26
2012,49,0,91.0,2012-12-03
2012,50,0,91.0,2012-12-10
2012,51,0,91.0,2012-12-17
2012,52,0,91.0,2012-12-24
2013,1,6,91.5,2012-12-31
2013,2,5,91.5,2013-01-07
2013,3,4,91.5,2013-01-14
2013,4,7,91.5,2013-01-21
2013,5,5,91.5,2013-01-28
2013,6,9,91.5,2013-02-04
2013,7,10,91.5,2013-02-11
2013,8,7,91.5,2013-02-18
2013,9,11,91.5,2013-02-25
2013,10,11,91.5,2013-03-04
2013,11,12,91.5,2013-03-11
2013,12,14,91.5,2013-03-18
2013,13,10,91.5,2013-03-25
2013,14,8,91.5,2013-04-01
2013,15,8,91.5,2013-04-08
2013,16,7,91.5,2013-04-15
2013,17,8,91.5,2013-04-22
2013,18,8,91.5,2013-04-29
2013,19,7,91.5,2013-05-06
2013,20,7,91.5,2013-05-13
2013,21,5,91.5,2013-05-20
2013,22,6,91.5,2013-05-27
2013,23,4,91.5,2013-06-03
2013,24,6,91.5,2013-06-10
2013,25,3,91.5,2013-06-17
2013,26,1,91.5,2013-06-24
2013,27,1,91.5,2013-07-01
2013,28,2,91.5,2013-07-08
2013,29,1,91.5,2013-07-15
2013,30,1,91.5,2013-07-22
2013,31,1,91.5,2013-07-29
2013,32,0,91.5,2013-08-05
2013,33,0,91.5,2013-08-12
2013,34,0,91.5,2013-08-19
2013,35,0,91.5,2013-08-26
2013,36,1,91.5,2013-09-02
2013,37,0,91.5,2013-09-09
2013,38,0,91.5,2013-09-16
2013,39,0,91.5,2013-09-23
2013,40,0,91.5,2013-09-30
2013,41,0,91.5,2013-10-07
2013,42,0,91.5,2013-10-14
2013,43,0,91.5,2013-10-21
2013,44,0,91.5,2013-10-28
2013,45,0,91.5,2013-11-04
2013,46,0,91.5,2013-11-11
2013,47,1,91.5,2013-11-18
2013,48,1,91.5,2013-11-25
2013,49,0,91.5,2013-12-02
2013,50,0,91.5,2013-12-09
2013,51,0,91.5,2013-12-16
2013,52,0,91.5,2013-12-23
2014,1,15,91.5,2013-12-30
2014,2,28,91.5,2014-01-06
2014,3,21,91.5,2014-01-13
2014,4,26,91.5,2014-01-20
2014,5,29,91.5,2014-01-27
2014,6,30,91.5,2014-02-03
2014,7,28,91.5,2014-02-10
2014,8,36,91.5,2014-02-17
2014,9,29,91.5,2014-02-24
2014,10,34,91.5,2014-03-03
2014,11,33,91.5,2014-03-10
2014,12,36,91.5,2014-03-17
2014,13,49,91.5,2014-03-24
2014,14,24,91.5,2014-03-31
2014,15,37,91.5,2014-04-07
2014,16,23,91.5,2014-04-14
2014,17,27,91.5,2014-04-21
2014,18,61,91.5,2014-04-28
2014,19,64,91.5,2014-05-05
2014,20,57,91.5,2014-05-12
2014,21,48,91.5,2014-05-19
2014,22,56,91.5,2014-05-26
2014,23,49,91.5,2014-06-02
2014,24,55,91.5,2014-06-09
2014,25,53,91.5,2014-06-16
2014,26,34,91.5,2014-06-23
2014,27,45,91.5,2014-06-30
2014,28,49,91.5,2014-07-07
2014,29,42,91.5,2014-07-14
2014,30,52,91.5,2014-07-21
2014,31,2,91.5,2014-07-28
2014,32,2,91.5,2014-08-04
2014,33,1,91.5,2014-08-11
2014,34,1,91.5,2014-08-18
2014,35,1,91.5,2014-08-25
2014,36,1,91.5,2014-09-01
2014,37,0,91.5,2014-09-08
2014,38,0,91.5,2014-09-15
2014,39,0,91.5,2014-09-22
2014,40,0,91.5,2014-09-29
2014,41,1,91.5,2014-10-06
2014,42,0,91.5,2014-10-13
2014,43,0,91.5,2014-10-20
2014,44,0,91.5,2014-10-27
2014,45,1,91.5,2014-11-03
2014,46,1,91.5,2014-11-10
2014,47,0,91.5,2014-11-17
2014,48,0,91.5,2014-11-24
2014,49,1,91.5,2014-12-01
2014,50,0,91.5,2014-12-08
2014,51,0,91.5,2014-12-15
2014,52,0,91.5,2014-12-22
2015,1,3,91.9,2014-12-29
2015,2,5,91.9,2015-01-05
2015,3,6,91.9,2015-01-12
2015,4,5,91.9,2015-01-19
2015,5,7,91.9,2015-01-26
2015,6,7,91.9,2015-02-02
2015,7,9,91.9,2015-02-09
2015,8,10,91.9,2015-02-16
2015,9,12,91.9,2015-02-23
2015,10,7,91.9,2015-03-02
2015,11,14,91.9,2015-03-09
2015,12,6,91.9,2015-03-16
2015,13,10,91.9,2015-03-23
2015,14,11,91.9,2015-03-30
2015,15,10,91.9,2015-04-06
2015,16,8,91.9,2015-04-13
2015,17,8,91.9,2015-04-20
2015,18,7,91.9,2015-04-27
2015,19,6,91.9,2015-05-04
2015,20,7,91.9,2015-05-11
2015,21,6,91.9,2015-05-18
2015,22,4,91.9,2015-05-25
2015,23,5,91.9,2015-06-01
2015,24,4,91.9,2015-06-08
2015,25,3,91.9,2015-06-15
2015,26,3,91.9,2015-06-22
2015,27,1,91.9,2015-06-29
2015,28,1,91.9,2015-07-06
2015,29,2,91.9,2015-07-13
2015,30,1,91.9,2015-07-20
2015,31,1,91.9,2015-07-27
2015,32,1,91.9,2015-08-03
2015,33,1,91.9,2015-08-10
2015,34,0,91.9,2015-08-17
2015,35,0,91.9,2015-08-24
2015,36,0,91.9,2015-08-31
2015,37,0,91.9,2015-09-07
2015,38,1,91.9,2015-09-14
2015,39,0,91.9,2015-09-21
2015,40,0,91.9,2015-09-28
2015,41,1,91.9,2015-10-05
2015,42,0,91.9,2015-10-12
2015,43,0,91.9,2015-10-19
2015,44,0,91.9,2015-10-26
2015,45,0,91.9,2015-11-02
2015,46,0,91.9,2015-11-09
2015,47,0,91.9,2015-11-16
2015,48,0,91.9,2015-11-23
2015,49,0,91.9,2015-11-30
2015,50,1,91.9,2015-12-07
2015,51,0,91.9,2015-12-14
2015,52,0,91.9,2015-12-21
2016,1,3,91.1,2016-01-04
2016,2,3,91.1,2016-01-11
2016,3,3,91.1,2016-01-18
2016,4,3,91.1,2016-01-25
2016,5,3,91.1,2016-02-01
2016,6,3,91.1,2016-02-08
2016,7,4,91.1,2016-02-15
2016,8,3,91.1,2016-02-22
2016,9,5,91.1,2016-02-29
2016,10,4,91.1,2016-03-07
2016,11,4,91.1,2016-03-14
2016,12,4,91.1,2016-03-21
2016,13,5,91.1,2016-03-28
2016,14,4,91.1,2016-04-04
2016,15,3,91.1,2016-04-11
2016,16,4,91.1,2016-04-18
2016,17,4,91.1,2016-04-25
2016,18,3,91.1,2016-05-02
2016,19,3,91.1,2016-05-09
2016,20,3,91.1,2016-05-16
2016,21,1,91.1,2016-05-23
2016,22,1,91.1,2016-05-30
2016,23,1,91.1,2016-06-06
2016,24,1,91.1,2016-06-13
2016,25,1,91.1,2016-06-20
2016,26,2,91.1,2016-06-27
2016,27,1,91.1,2016-07-04
2016,28,1,91.1,2016-07-11
2016,29,0,91.1,2016-07-18
2016,30,0,91.1,2016-07-25
2016,31,0,91.1,2016-08-01
2016,32,0,91.1,2016-08-08
2016,33,0,91.1,2016-08-15
2016,34,0,91.1,2016-08-22
2016,35,0,91.1,2016-08-29
2016,36,1,91.1,2016-09-05
2016,37,0,91.1,2016-09-12
2016,38,0,91.1,2016-09-19
2016,39,0,91.1,2016-09-26
2016,40,0,91.1,2016-10-03
2016,41,0,91.1,2016-10-10
2016,42,0,91.1,2016-10-17
2016,43,0,91.1,2016-10-24
2016,44,0,91.1,2016-10-31
2016,45,0,91.1,2016-11-07
2016,46,0,91.1,2016-11-14
2016,47,1,91.1,2016-11-21
2016,48,0,91.1,2016-11-28
2016,49,1,91.1,2016-12-05
2016,50,0,91.1,2016-12-12
2016,51,0,91.1,2016-12-19
2016,52,0,91.1,2016-12-26
2017,1,4,91.5,2017-01-02
2017,2,2,91.5,2017-01-09
2017,3,3,91.5,2017-01-16
2017,4,3,91.5,2017-01-23
2017,5,2,91.5,2017-01-30
2017,6,4,91.5,2017-02-06
2017,7,4,91.5,2017-02-13
2017,8,6,91.5,2017-02-20
2017,9,6,91.5,2017-02-27
2017,10,9,91.5,2017-03-06
2017,11,8,91.5,2017-03-13
2017,12,6,91.5,2017-03-20
2017,13,5,91.5,2017-03-27
2017,14,7,91.5,2017-04-03
2017,15,4,91.5,2017-04-10
2017,16,8,91.5,2017-04-17
2017,17,7,91.5,2017-04-24
2017,18,4,91.5,2017-05-01
2017,19,2,91.5,2017-05-08
2017,20,5,91.5,2017-05-15
2017,21,3,91.5,2017-05-22
2017,22,4,91.5,2017-05-29
2017,23,1,91.5,2017-06-05
2017,24,2,91.5,2017-06-12
2017,25,2,91.5,2017-06-19
2017,26,1,91.5,2017-06-26
2017,27,1,91.5,2017-07-03
2017,28,1,91.5,2017-07-10
2017,29,0,91.5,2017-07-17
2017,30,0,91.5,2017-07-24
2017,31,0,91.5,2017-07-31
2017,32,1,91.5,2017-08-07
2017,33,1,91.5,2017-08-14
2017,34,0,91.5,2017-08-21
2017,35,0,91.5,2017-08-28
2017,36,1,91.5,2017-09-04
2017,37,0,91.5,2017-09-11
2017,38,0,91.5,2017-09-18
2017,39,1,91.5,2017-09-25
2017,40,0,91.5,2017-10-02
2017,41,1,91.5,2017-10-09
2017,42,0,91.5,2017-10-16
2017,43,1,91.5,2017-10-23
2017,44,1,91.5,2017-10-30
2017,45,0,91.5,2017-11-06
2017,46,0,91.5,2017-11-13
2017,47,0,91.5,2017-11-20
2017,48,1,91.5,2017-11-27
2017,49,0,91.5,2017-12-04
2017,50,0,91.5,2017-12-11
2017,51,1,91.5,2017-12-18
2017,52,0,91.5,2017-12-25
2018,1,6,91.1,2018-01-01
2018,2,5,91.1,2018-01-08
2018,3,10,91.1,2018-01-15
2018,4,14,91.1,2018-01-22
2018,5,18,91.1,2018-01-29
2018,6,15,91.1,2018-02-05
2018,7,21,91.1,2018-02-12
2018,8,13,91.1,2018-02-19
2018,9,13,91.1,2018-02-26
2018,10,19,91.1,2018-03-05
2018,11,21,91.1,2018-03-12
2018,12,20,91.1,2018-03-19
2018,13,13,91.1,2018-03-26
2018,14,19,91.1,2018-04-02
2018,15,14,91.1,2018-04-09
2018,16,20,91.1,2018-04-16
2018,17,18,91.1,2018-04-23
2018,18,13,91.1,2018-04-30
2018,19,12,91.1,2018-05-07
2018,20,10,91.1,2018-05-14
2018,21,11,91.1,2018-05-21
2018,22,11,91.1,2018-05-28
2018,23,6,91.1,2018-06-04
2018,24,7,91.1,2018-06-11
2018,25,5,91.1,2018-06-18
2018,26,3,91.1,2018-06-25
2018,27,3,91.1,2018-07-02
2018,28,2,91.1,2018-07-09
2018,29,2,91.1,2018-07-16
2018,30,1,91.1,2018-07-23
2018,31,3,91.1,2018-07-30
2018,32,1,91.1,2018-08-06
2018,33,0,91.1,2018-08-13
2018,34,1,91.1,2018-08-20
2018,35,0,91.1,2018-08-27
2018,36,0,91.1,2018-09-03
2018,37,0,91.1,2018-09-10
2018,38,0,91.1,2018-09-17
2018,39,0,91.1,2018-09-24
2018,40,0,91.1,2018-10-01
2018,41,0,91.1,2018-10-08
2018,42,0,91.1,2018-10-15
2018,43,0,91.1,2018-10-22
2018,44,1,91.1,2018-10-29
2018,45,1,91.1,2018-11-05
2018,46,0,91.1,2018-11-12
2018,47,0,91.1,2018-11-19
2018,48,0,91.1,2018-11-26
2018,49,2,91.1,2018-12-03
2018,50,1,91.1,2018-12-10
2018,51,0,91.1,2018-12-17
2018,52,0,91.1,2018-12-24
2019,1,20,90.8,2018-12-31
2019,2,33,90.8,2019-01-07
2019,3,32,90.8,2019-01-14
2019,4,32,90.8,2019-01-21
2019,5,42,90.8,2019-01-28
2019,6,43,90.8,2019-02-04
2019,7,72,90.8,2019-02-11
2019,8,70,90.8,2019-02-18
2019,9,64,90.8,2019-02-25
2019,10,83,90.8,2019-03-04
2019,11,69,90.8,2019-03-11
2019,12,60,90.8,2019-03-18
2019,13,85,90.8,2019-03-25
2019,14,73,90.8,2019-04-01
2019,15,54,90.8,2019-04-08
2019,16,59,90.8,2019-04-15
2019,17,102,90.8,2019-04-22
2019,18,109,90.8,2019-04-29
2019,19,112,90.8,2019-05-06
2019,20,109,90.8,2019-05-13
2019,21,130,90.8,2019-05-20
2019,22,102,90.8,2019-05-27
2019,23,116,90.8,2019-06-03
2019,24,85,90.8,2019-06-10
2019,25,17,90.8,2019-06-17
2019,26,13,90.8,2019-06-24
2019,27,12,90.8,2019-07-01
2019,28,8,90.8,2019-07-08
2019,29,8,90.8,2019-07-15
2019,30,5,90.8,2019-07-22
2019,31,4,90.8,2019-07-29
2019,32,2,90.8,2019-08-05
2019,33,2,90.8,2019-08-12
2019,34,2,90.8,2019-08-19
2019,35,1,90.8,2019-08-26
2019,36,0,90.8,2019-09-02
2019,37,1,90.8,2019-09-09
2019,38,1,90.8,2019-09-16
2019,39,0,90.8,2019-09-23
2019,40,0,90.8,2019-09-30
2019,41,0,90.8,2019-10-07
2019,42,0,90.8,2019-10-14
2019,43,0,90.8,2019-10-21
2019,44,0,90.8,2019-10-28
2019,45,0,90.8,2019-11-04
2019,46,0,90.8,2019-11-11
2019,47,0,90.8,2019-11-18
2019,48,0,90.8,2019-11-25
2019,49,0,90.8,2019-12-02
2019,50,0,90.8,2019-12-09
2019,51,0,90.8,2019-12-16
2019,52,0,90.8,2019-12-23
2020,1,1,89.6,2019-12-30
2020,2,1,89.6,2020-01-06
2020,3,0,89.6,2020-01-13
2020,4,2,89.6,2020-01-20
2020,5,0,89.6,2020-01-27
2020,6,0,89.6,2020-02-03
2020,7,1,89.6,2020-02-10
2020,8,1,89.6,2020-02-17
2020,9,1,89.6,2020-02-24
2020,10,2,89.6,2020-03-02
2020,11,1,89.6,2020-03-09
2020,12,1,89.6,2020-03-16
2020,13,0,89.6,2020-03-23
2020,14,1,89.6,2020-03-30
2020,15,0,89.6,2020-04-06
2020,16,0,89.6,2020-04-13
2020,17,1,89.6,2020-04-20
2020,18,1,89.6,2020-04-27
2020,19,0,89.6,2020-05-04
2020,20,1,89.6,2020-05-11
2020,21,0,89.6,2020-05-18
2020,22,1,89.6,2020-05-25
2020,23,0,89.6,2020-06-01
2020,24,1,89.6,2020-06-08
2020,25,0,89.6,2020-06-15
2020,26,0,89.6,2020-06-22
2020,27,1,89.6,2020-06-29
2020,28,0,89.6,2020-07-06
2020,29,0,89.6,2020-07-13
2020,30,0,89.6,2020-07-20
2020,31,0,89.6,2020-07-27
2020,32,0,89.6,2020-08-03
2020,33,0,89.6,2020-08-10
2020,34,0,89.6,2020-08-17
2020,35,0,89.6,2020-08-24
2020,36,0,89.6,2020-08-31
2020,37,0,89.6,2020-09-07
2020,38,0,89.6,2020-09-14
2020,39,0,89.6,2020-09-21
2020,40,0,89.6,2020-09-28
2020,41,0,89.6,2020-10-05
2020,42,1,89.6,2020-10-12
2020,43,0,89.6,2020-10-19
2020,44,0,89.6,2020-10-26
2020,45,0,89.6,2020-11-02
2020,46,0,89.6,2020-11-09
2020,47,0,89.6,2020-11-16
2020,48,0,89.6,2020-11-23
2020,49,1,89.6,2020-11-30
2020,50,0,89.6,2020-12-07
2020,51,0,89.6,2020-12-14
2020,52,0,89.6,2020-12-21
2021,1,2,88.9,2021-01-04
2021,2,1,88.9,2021-01-11
2021,3,1,88.9,2021-01-18
2021,4,1,88.9,2021-01-25
2021,5,3,88.9,2021-02-01
2021,6,3,88.9,2021-02-08
2021,7,3,88.9,2021-02-15
2021,8,3,88.9,2021-02-22
2021,9,1,88.9,2021-03-01
2021,10,3,88.9,2021-03-08
2021,11,2,88.9,2021-03-15
2021,12,2,88.9,2021-03-22
2021,13,3,88.9,2021-03-29
2021,14,3,88.9,2021-04-05
2021,15,2,88.9,2021-04-12
2021,16,0,88.9,2021-04-19
2021,17,2,88.9,2021-04-26
2021,18,4,88.9,2021-05-03
2021,19,2,88.9,2021-05-10
2021,20,2,88.9,2021-05-17
2021,21,3,88.9,2021-05-24
2021,22,2,88.9,2021-05-31
2021,23,1,88.9,2021-06-07
2021,24,1,88.9,2021-06-14
2021,25,1,88.9,2021-06-21
2021,26,0,88.9,2021-06-28
2021,27,0,88.9,2021-07-05
2021,28,1,88.9,2021-07-12
2021,29,0,88.9,2021-07-19
2021,30,0,88.9,2021-07-26
2021,31,0,88.9,2021-08-02
2021,32,1,88.9,2021-08-09
2021,33,1,88.9,2021-08-16
2021,34,0,88.9,2021-08-23
2021,35,0,88.9,2021-08-30
2021,36,0,88.9,2021-09-06
2021,37,1,88.9,2021-09-13
2021,38,0,88.9,2021-09-20
2021,39,0,88.9,2021-09-27
2021,40,0,88.9,2021-10-04
2021,41,0,88.9,2021-10-11
2021,42,0,88.9,2021-10-18
2021,43,1,88.9,2021-10-25
2021,44,0,88.9,2021-11-01
2021,45,0,88.9,2021-11-08
2021,46,0,88.9,2021-11-15
2021,47,0,88.9,2021-11-22
2021,48,0,88.9,2021-11-29
2021,49,0,88.9,2021-12-06
2021,50,0,88.9,2021-12-13
2021,51,0,88.9,2021-12-20
2021,52,0,88.9,2021-12-27
2022,1,3,92.7,2022-01-03
2022,2,1,92.7,2022-01-10
2022,3,2,92.7,2022-01-17
2022,4,5,92.7,2022-01-24
2022,5,4,92.7,2022-01-31
2022,6,5,92.7,2022-02-07
2022,7,5,92.7,2022-02-14
2022,8,6,92.7,2022-02-21
2022,9,5,92.7,2022-02-28
2022,10,7,92.7,2022-03-07
2022,11,5,92.7,2022-03-14
2022,12,8,92.7,2022-03-21
2022,13,6,92.7,2022-03-28
2022,14,7,92.7,2022-04-04
2022,15,10,92.7,2022-04-11
2022,16,4,92.7,2022-04-18
2022,17,7,92.7,2022-04-25
2022,18,2,92.7,2022-05-02
2022,19,2,92.7,2022-05-09
2022,20,3,92.7,2022-05-16
2022,21,2,92.7,2022-05-23
2022,22,3,92.7,2022-05-30
2022,23,3,92.7,2022-06-06
2022,24,2,92.7,2022-06-13
2022,25,2,92.7,2022-06-20
2022,26,2,92.7,2022-06-27
2022,27,2,92.7,2022-07-04
2022,28,0,92.7,2022-07-11
2022,29,0,92.7,2022-07-18
2022,30,0,92.7,2022-07-25
2022,31,1,92.7,2022-08-01
2022,32,0,92.7,2022-08-08
2022,33,0,92.7,2022-08-15
2022,34,0,92.7,2022-08-22
2022,35,0,92.7,2022-08-29
2022,36,0,92.7,2022-09-05
2022,37,0,92.7,2022-09-12
2022,38,0,92.7,2022-09-19
2022,39,0,92.7,2022-09-26
2022,40,0,92.7,2022-10-03
2022,41,0,92.7,2022-10-10
2022,42,0,92.7,2022-10-17
2022,43,0,92.7,2022-10-24
2022,44,0,92.7,2022-10-31
2022,45,0,92.7,2022-11-07
2022,46,0,92.7,2022-11-14
2022,47,1,92.7,2022-11-21
2022,48,0,92.7,2022-11-28
2022,49,0,92.7,2022-12-05
2022,50,0,92.7,2022-12-12
2022,51,0,92.7,2022-12-19
2022,52,1,92.7,2022-12-26
2023,1,0,92.7,2023-01-02
2023,2,1,92.7,2023-01-09
2023,3,3,92.7,2023-01-16
2023,4,1,92.7,2023-01-23
2023,5,3,92.7,2023-01-30
2023,6,1,92.7,2023-02-06
2023,7,4,92.7,2023-02-13
2023,8,1,92.7,2023-02-20
2023,9,1,92.7,2023-02-27
2023,10,3,92.7,2023-03-06
2023,11,4,92.7,2023-03-13
2023,12,3,92.7,2023-03-20
2023,13,3,92.7,2023-03-27
2023,14,4,92.7,2023-04-03
2023,15,5,92.7,2023-04-10
2023,16,3,92.7,2023-04-17
2023,17,2,92.7,2023-04-24
2023,18,2,92.7,2023-05-01
2023,19,1,92.7,2023-05-08
2023,20,2,92.7,2023-05-15
2023,21,0,92.7,2023-05-22
2023,22,2,92.7,2023-05-29
2023,23,3,92.7,2023-06-05
2023,24,1,92.7,2023-06-12
2023,25,1,92.7,2023-06-19
2023,26,1,92.7,2023-06-26
2023,27,1,92.7,2023-07-03
2023,28,1,92.7,2023-07-10
2023,29,0,92.7,2023-07-17
2023,30,1,92.7,2023-07-24
2023,31,0,92.7,2023-07-31
2023,32,1,92.7,2023-08-07
2023,33,0,92.7,2023-08-14
2023,34,0,92.7,2023-08-21
2023,35,0,92.7,2023-08-28
2023,36,0,92.7,2023-09-04
2023,37,0,92.7,2023-09-11
2023,38,0,92.7,2023-09-18
2023,39,0,92.7,2023-09-25
2023,40,0,92.7,2023-10-02
2023,41,1,92.7,2023-10-09
2023,42,0,92.7,2023-10-16
2023,43,0,92.7,2023-10-23
2023,44,0,92.7,2023-10-30
2023,45,1,92.7,2023-11-06
2023,46,0,92.7,2023-11-13
2023,47,0,92.7,2023-11-20
2023,48,0,92.7,2023-11-27
2023,49,0,92.7,2023-12-04
2023,50,0,92.7,2023-12-11
2023,51,0,92.7,2023-12-18
2023,52,0,92.7,2023-12-25
2024,1,4,91.0,2024-01-01
2024,2,9,91.0,2024-01-08
2024,3,8,91.0,2024-01-15
2024,4,10,91.0,2024-01-22
2024,5,11,91.0,2024-01-29
2024,6,11,91.0,2024-02-05
2024,7,17,91.0,2024-02-12
2024,8,13,91.0,2024-02-19
2024,9,10,91.0,2024-02-26
2024,10,14,91.0,2024-03-04
2024,11,17,91.0,2024-03-11
2024,12,17,91.0,2024-03-18
2024,13,12,91.0,2024-03-25
2024,14,17,91.0,2024-04-01
2024,15,10,91.0,2024-04-08
2024,16,16,91.0,2024-04-15
2024,17,9,91.0,2024-04-22
2024,18,11,91.0,2024-04-29
2024,19,13,91.0,2024-05-06
2024,20,10,91.0,2024-05-13
2024,21,10,91.0,2024-05-20
2024,22,8,91.0,2024-05-27
2024,23,8,91.0,2024-06-03
2024,24,6,91.0,2024-06-10
2024,25,4,91.0,2024-06-17
2024,26,4,91.0,2024-06-24
2024,27,1,91.0,2024-07-01
2024,28,2,91.0,2024-07-08
2024,29,2,91.0,2024-07-15
2024,30,1,91.0,2024-07-22
2024,31,1,91.0,2024-07-29
2024,32,1,91.0,2024-08-05
2024,33,1,91.0,2024-08-12
2024,34,0,91.0,2024-08-19
2024,35,0,91.0,2024-08-26
2024,36,1,91.0,2024-09-02
2024,37,0,91.0,2024-09-09
2024,38,0,91.0,2024-09-16
2024,39,0,91.0,2024-09-23
2024,40,1,91.0,2024-09-30
2024,41,0,91.0,2024-10-07
2024,42,0,91.0,2024-10-14
2024,43,0,91.0,2024-10-21
2024,44,0,91.0,2024-10-28
2024,45,0,91.0,2024-11-04
2024,46,1,91.0,2024-11-11
2024,47,0,91.0,2024-11-18
2024,48,0,91.0,2024-11-25
